w	aiii	av	biii	bv	fiii	fv	giii	gv	kiii	kv	miii	mv
1150.0	0.026927	0.000000	23.705826	22.925695	0.020165	0.003635	0.000000	0.003386	0.000000	0.000000	0.000000	0.000000
1155.0	0.014894	0.010112	16.819538	17.003479	0.003506	0.002063	0.000000	0.002432	0.000000	0.000000	0.000000	0.000000
1160.0	0.001291	0.035476	12.925051	13.857224	0.000000	0.001474	0.000000	0.001234	0.000000	0.000000	0.000000	0.000000
1165.0	0.000000	0.000000	12.509295	13.475615	0.000000	0.001403	0.000000	0.000788	0.000000	0.000000	0.000000	0.000000
1170.0	0.000000	0.000000	10.988223	12.094208	0.001559	0.002089	0.000000	0.000876	0.000000	0.000000	0.000000	0.000000
1175.0	0.004872	0.000000	9.667303	10.645069	0.003457	0.000890	0.000000	0.000854	0.000000	0.000000	0.000000	0.000000
1180.0	0.003105	0.000000	10.658473	11.337811	0.002289	0.001100	0.000000	0.000425	0.000000	0.000000	0.000000	0.000000
1185.0	0.000000	0.000000	9.599573	10.842136	0.000794	0.001237	0.000000	0.000363	0.000000	0.000000	0.000000	0.000000
1190.0	0.000000	0.000000	6.347764	7.760071	0.002459	0.000750	0.000000	0.000084	0.000000	0.000000	0.000000	0.000000
1195.0	0.000000	0.000000	5.102046	5.460251	0.002342	0.000000	0.000000	0.001137	0.000000	0.000000	0.000000	0.000000
1200.0	0.006689	0.000000	3.988668	4.586621	0.002719	0.001912	0.000000	0.004133	0.000000	0.000000	0.000000	0.000000
1205.0	0.005307	0.001767	1.911808	2.270096	0.003027	0.002674	0.000000	0.028503	0.000000	0.000000	0.000000	0.000000
1210.0	0.007376	0.029337	1.073081	0.974556	0.003623	0.009632	0.000000	0.078916	0.000000	0.000000	0.000000	0.000000
1215.0	0.012660	0.044392	1.140718	0.867654	0.007450	0.021289	0.000000	0.091386	0.000000	0.000000	0.000000	0.000000
1220.0	0.011547	0.019819	1.994279	2.103891	0.005345	0.015726	0.000000	0.041003	0.000000	0.000000	0.000000	0.000000
1225.0	0.005638	0.007760	3.712967	4.221054	0.001066	0.003618	0.000000	0.005986	0.000000	0.000000	0.000000	0.000000
1230.0	0.000000	0.005219	5.887466	6.753571	0.000347	0.000575	0.000000	0.000716	0.000000	0.000000	0.000000	0.000000
1235.0	0.000000	0.004870	8.414351	9.279733	0.000863	0.000170	0.000000	0.000489	0.000000	0.000000	0.000000	0.000000
1240.0	0.005527	0.004600	10.362449	11.146892	0.000829	0.000516	0.000000	0.000501	0.000000	0.000000	0.000000	0.000000
1245.0	0.003537	0.000782	10.464552	11.471576	0.001122	0.000340	0.000000	0.000393	0.000000	0.000000	0.000000	0.000000
1250.0	0.004254	0.006129	10.623097	11.529255	0.000527	0.000625	0.000000	0.000239	0.000000	0.000000	0.000000	0.000000
1255.0	0.005771	0.006150	9.901403	11.082434	0.000676	0.000709	0.000000	0.000134	0.000000	0.000000	0.000000	0.000000
1260.0	0.005742	0.004974	8.002713	9.741821	0.000950	0.000670	0.000000	0.000150	0.000000	0.000000	0.000000	0.000000
1265.0	0.004758	0.004305	9.131547	10.160810	0.000796	0.000537	0.000000	0.000146	0.000000	0.000000	0.000000	0.000000
1270.0	0.006810	0.005035	10.767018	11.653098	0.000591	0.000351	0.000000	0.000153	0.000000	0.000000	0.000000	0.000000
1275.0	0.008340	0.004842	10.975883	11.595675	0.001029	0.000189	0.000000	0.000239	0.000000	0.000000	0.000000	0.000000
1280.0	0.004772	0.006096	12.004044	12.210112	0.000247	0.000600	0.000000	0.000307	0.000000	0.000000	0.000000	0.000000
1285.0	0.001335	0.004384	12.033711	12.354135	0.000000	0.000402	0.000000	0.000254	0.000000	0.000000	0.000000	0.000000
1290.0	0.003662	0.004738	10.853503	11.392200	0.000768	0.000084	0.000000	0.000172	0.000000	0.000000	0.000000	0.000000
1295.0	0.003939	0.001440	9.397795	9.691000	0.000793	0.000127	0.000000	0.000196	0.000000	0.000000	0.000000	0.000000
1300.0	0.000166	0.003983	7.854926	8.337968	0.000369	0.000443	0.000000	0.000443	0.000000	0.000000	0.000000	0.000000
1305.0	0.000000	0.003084	7.063012	7.888395	0.000719	0.000832	0.000000	0.000597	0.000000	0.000000	0.000000	0.000000
1310.0	0.004129	0.002804	9.314326	9.362967	0.001216	0.000724	0.000000	0.000253	0.000000	0.000000	0.000000	0.000000
1315.0	0.006163	0.003681	12.092546	11.826160	0.001393	0.000470	0.000000	0.000122	0.000000	0.000000	0.000000	0.000000
1320.0	0.004351	0.001503	11.995251	12.151141	0.001626	0.000260	0.000000	0.000101	0.000000	0.000000	0.000000	0.000000
1325.0	0.001881	0.001259	11.109317	11.191621	0.000322	0.000110	0.000000	0.000150	0.000000	0.000000	0.000000	0.000000
1330.0	0.002113	0.002836	9.906595	10.211372	0.000638	0.000469	0.000000	0.000373	0.000000	0.000000	0.000000	0.000000
1335.0	0.000143	0.002611	9.404058	9.822821	0.001464	0.000903	0.000000	0.000748	0.000000	0.000000	0.000000	0.000000
1340.0	0.000083	0.004889	11.458674	11.109217	0.001389	0.000683	0.000000	0.000264	0.000000	0.000000	0.000000	0.000000
1345.0	0.004532	0.005078	11.678541	11.636987	0.001012	0.000370	0.000000	0.000058	0.000000	0.000000	0.000000	0.000000
1350.0	0.008715	0.004925	11.527878	11.362291	0.000807	0.000544	0.000000	0.000012	0.000000	0.000000	0.000000	0.000000
1355.0	0.008295	0.008155	11.461760	11.231976	0.000802	0.000488	0.000000	0.000129	0.000000	0.000000	0.000000	0.000000
1360.0	0.008447	0.006243	10.796690	10.897443	0.000718	0.000679	0.000000	0.000183	0.000000	0.000000	0.000000	0.000000
1365.0	0.004735	0.001535	10.233044	10.322062	0.001011	0.000343	0.000000	0.000164	0.000000	0.000000	0.000000	0.000000
1370.0	0.003933	0.001862	10.248929	10.349401	0.001205	0.000326	0.000000	0.000119	0.000000	0.000000	0.000000	0.000000
1375.0	0.002449	0.007030	10.388442	10.458812	0.001565	0.000275	0.000000	0.000146	0.000000	0.000000	0.000000	0.000000
1380.0	0.003085	0.008658	10.397915	10.296722	0.001119	0.000482	0.000000	0.000120	0.000000	0.000000	0.000000	0.000000
1385.0	0.006974	0.004119	10.351654	10.301939	0.000763	0.000443	0.000000	0.000108	0.000000	0.000000	0.000000	0.000000
1390.0	0.009747	0.003104	10.082259	10.060229	0.000851	0.000436	0.000000	0.000246	0.000000	0.000000	0.000000	0.000000
1395.0	0.008677	0.004172	9.908307	9.641298	0.001336	0.000642	0.000000	0.000419	0.000000	0.000000	0.000000	0.000000
1400.0	0.007379	0.004213	9.870544	9.742609	0.000597	0.000508	0.000000	0.000359	0.000000	0.000000	0.000000	0.000000
1405.0	0.006438	0.005551	9.822398	9.590167	0.000815	0.000360	0.000000	0.000395	0.000000	0.000000	0.000000	0.000000
1410.0	0.008038	0.000185	9.500298	9.388226	0.001881	0.000260	0.000000	0.000236	0.000000	0.000000	0.000000	0.000000
1415.0	0.009131	0.001284	9.537803	9.348318	0.001852	0.000248	0.000000	0.000127	0.000000	0.000000	0.000000	0.000000
1420.0	0.008766	0.005920	9.729386	9.585935	0.001064	0.000474	0.000000	0.000131	0.000000	0.000000	0.000000	0.000000
